dateAdded,term,definition
2023-10-01,Machine Learning,Algorithms that learn from data and make predictions
2023-10-01,Deep Learning,Neural networks and artificial intelligence fundamentals
2023-10-02,Artificial Intelligence,Simulation of human intelligence by machines
2023-10-02,Supervised Learning,Machine learning using labeled data
2023-10-02,Unsupervised Learning,Machine learning using unlabeled data
2023-10-02,Reinforcement Learning,Learning by trial and error with rewards
2023-10-02,Neural Network,Computational model inspired by the human brain
2023-10-02,Feature Engineering,Process of selecting and transforming variables
2023-10-02,Overfitting,Model fits training data too closely and fails to generalize
2023-10-02,Underfitting,Model is too simple and fails to capture patterns
2023-10-02,Gradient Descent,Optimization algorithm for minimizing loss functions
2023-10-02,Activation Function,Function that determines neuron output in neural networks
2023-10-02,Decision Tree,Tree-like model for decision making
2023-10-02,Random Forest,Ensemble of decision trees for improved accuracy
2023-10-02,Support Vector Machine,Algorithm for classification and regression tasks
2023-10-02,Clustering,Grouping similar data points together
2023-10-02,K-Means,Popular clustering algorithm
2023-10-02,Principal Component Analysis,Dimensionality reduction technique
2023-10-02,Data Preprocessing,Cleaning and preparing data for analysis
2023-10-02,Loss Function,Function that measures prediction error
2023-10-02,Hyperparameter,Parameter set before training a model
2023-10-02,Cross Validation,Technique for assessing model performance